| id | account   | password | name           | type |
+----+-----------+----------+----------------+------+
|  1 | admin     | 111111   | 管理员         |    1 |
|  2 | 2019      | 111111   | 卡卡西         |    3 |
| 17 | 201901001 | 111111   | 蒙奇D路飞      |    2 |
| 18 | 201901002 | 111111   | 妮可罗宾       |    2 |
| 19 | 201901003 | 111111   | 罗罗诺亚卓洛   |    2 |
| 20 | 201901004 | 111111   | 托尼托尼乔巴   |    2 |
| 21 | 201901005 | 111111   | 娜美           |    2 |
| 22 | 201901006 | 111111   | 山治           |    2 |
| 23 | 201901007 | 111111   | 布鲁克         |    2 |
| 24 | 201901008 | 111111   | 乌索普         |    2 |
| 25 | 201901009 | 111111   | 弗兰奇         |    2 |
| 26 | 201901010 | 111111   | 娜菲鲁塔利薇薇 |    2 |
| 27 | 201901011 | 111111   | 小鱿           |    2 |
| 28 | 201901012 | 111111   | 梅里号         |    2 |
| 29 | 201901013 | 111111   | 阳光号         |    2 |
| 30 | 201902001 | 111111   | 马歇尔蒂奇     |    2 |
| 31 | 201902002 | 111111   | 范奥卡         |    2 |
| 32 | 201902003 | 111111   | 基萨斯巴加斯   |    2 |
| 33 | 201902004 | 111111   | 毒Q            |    2 |
| 34 | 201902005 | 111111   | 雨之希留       |    2 |
| 35 | 201902006 | 111111   | 卡特琳娜       |    2 |
| 36 | 201902007 | 111111   | 圣胡安恶狼     |    2 |
| 37 | 201902008 | 111111   | 巴克斯乔特     |    2 |
| 38 | 201902009 | 111111   | 阿巴罗         |    2 |
| 39 | 201903001 | 111111   | 汉库克         |    2 |
| 40 | 201903002 | 111111   | 桑达索尼娅     |    2 |
| 41 | 201903003 | 111111   | 玛丽哥鲁德     |    2 |
| 42 | 201903004 | 111111   | 玛格丽特       |    2 |
| 43 | 201903005 | 111111   | 艾弗兰德拉     |    2 |
| 44 | 201903006 | 111111   | 贝拉董娜       |    2 |
| 45 | 201904001 | 111111   | 白胡子         |    2 |
| 46 | 201904002 | 111111   | 马尔高         |    2 |
| 47 | 200904003 | 111111   | 艾斯           |    2 |
| 48 | 201904004 | 111111   | 乔兹           |    2 |
| 49 | 201904005 | 111111   | 萨奇           |    2 |
| 50 | 201904006 | 111111   | 比斯塔         |    2 |
| 51 | 201904007 | 111111   | 布拉曼克       |    2 |
| 52 | 201904008 | 111111   | 拉克约         |    2 |
| 53 | 201904009 | 111111   | 那谬尔         |    2 |
| 54 | 201904010 | 111111   | 布伦海姆       |    2 |
| 55 | 201904011 | 111111   | 库利艾尔       |    2 |
| 56 | 201904012 | 111111   | 金古多         |    2 |
| 57 | 201904013 | 111111   | 佛萨           |    2 |
| 58 | 201904014 | 111111   | 斯比多基尔     |    2 |
| 59 | 201801001 | 111111   | 日向雏田       |    2 |
| 60 | 201801002 | 111111   | 李洛克         |    2 |
| 61 | 201801003 | 111111   | 日向花火       |    2 |
| 62 | 201801004 | 111111   | 奈良鹿丸       |    2 |
| 63 | 201801005 | 111111   | 日向宁次       |    2 |
| 64 | 201801006 | 111111   | 佐井           |    2 |
| 65 | 201801007 | 111111   | 山中井野       |    2 |
| 66 | 201801008 | 111111   | 秋道丁次       |    2 |
| 67 | 201801009 | 111111   | 犬冢牙         |    2 |
| 68 | 201801010 | 111111   | 野原琳         |    2 |
| 69 | 201801011 | 111111   | 天天           |    2 |
| 70 | 201801012 | 111111   | 木叶丸         |    2 |
| 71 | 201801013 | 111111   | 赤丸           |    2 |
| 72 | 201801014 | 111111   | 漩涡鸣人       |    2 |
| 73 | 201801015 | 111111   | 佐助           |    2 |
| 74 | 201801016 | 111111   | 春野樱         |    2 |
| 75 | 201801017 | 111111   | 油女志乃       |    2 |
| 76 | 201802001 | 111111   | 宇智波带土     |    2 |
| 77 | 201802002 | 111111   | 长门           |    2 |
| 78 | 201802003 | 111111   | 绝             |    2 |
| 79 | 201802004 | 111111   | 角都           |    2 |
| 80 | 201802005 | 111111   | 迪达拉         |    2 |
| 81 | 201802006 | 111111   | 小南           |    2 |
| 82 | 201802007 | 111111   | 大蛇丸         |    2 |
| 83 | 201802008 | 111111   | 飞段           |    2 |
| 84 | 201802009 | 111111   | 蝎             |    2 |
| 85 | 201802010 | 111111   | 弥彦           |    2 |
| 86 | 201802011 | 111111   | 千柿鬼鲛       |    2 |
+----+-----------+----------+----------------+------+
